studyName,cruise,cycle,"size_fraction (mm)",day_night,"biomass_mean (mg/m³)","biomass_std (mg/m³)",biomass_n,"biomass_95cl (mg/m³)","int_biomass_mean (mg/m²)","int_biomass_std (mg/m²)",int_biomass_n,"int_biomass_95cl (mg/m²)",chl_phaeo_mean,chl_phaeo_std,chl_phaeo_n,chl_phaeo_95cl,int_chl_phaeo_mean,int_chl_phaeo_std,int_chl_phaeo_n,int_chl_phaeo_95cl,grazing_rate_mean,grazing_rate_std,grazing_rate_n,grazing_rate_95cl,"int_grazing_rate_mean (µg/m²/day)","int_grazing_rate_std (µg/m²/day)",int_grazing_rate_n,"int_grazing_rate_95cl (µg/m²/day)","int_grazing_rate_mg_mean (mg/m²/day)","int_grazing_rate_mg_std (mg/m²/day)",int_grazing_rate_mg_n,"int_grazing_rate_mg_95cl (mg/m²/day)","mass_specific_grazing_mean (ug/mg)","mass_specific_grazing_std (ug/mg)",mass_specific_grazing_n,"mass_specific_grazing_95cl (ug/mg)",mass_specific_grazing_rate_mean,mass_specific_grazing_rate_std,mass_specific_grazing_rate_n,mass_specific_grazing_rate_95cl
P1604,P1604,3,0.2,Day,1.02485,,1,,219.963,,1,,0.307436,,1,,65.9848,,1,,0.635037,,1,,3271.14,,1,,3.27114,,1,,0.299981,,1,,14.8713,,1,
P1604,P1604,3,Total,Day,10.9305,,1,,2346.01,,1,,0.433433,,1,,93.0275,,1,,0.895295,,1,,4611.76,,1,,4.61176,,1,,0.0396535,,1,,1.96579,,1,
P1604,P1604,3,5,Night,4.371,4.93184,2,44.3108,924.558,1025.47,2,9213.48,0.0618285,0.0565816,2,0.508365,13.1516,11.6346,2,104.533,0.127712,0.116874,2,1.05007,651.977,576.776,2,5182.13,0.651977,0.576776,2,5.18213,0.0188256,0.00829637,2,0.07454,0.933265,0.411286,2,3.69526
P1604,P1604,3,2,Night,3.32885,2.56946,2,23.0857,710.74,522.534,2,4694.79,0.0424096,0.0182146,2,0.163652,9.1358,3.49436,2,31.3955,0.0876008,0.0376239,2,0.338037,452.9,173.23,2,1556.41,0.4529,0.17323,2,1.55641,0.0151377,0.00621271,2,0.055819,0.750439,0.30799,2,2.76718
P1604,P1604,3,1,Night,12.9918,12.3473,2,110.936,2760.92,2544.51,2,22861.5,0.122585,0.0657086,2,0.590369,26.3341,12.9449,2,116.306,0.253209,0.135727,2,1.21946,1305.49,641.735,2,5765.76,1.30549,0.641735,2,5.76576,0.0128236,0.00712979,2,0.0640587,0.63572,0.353454,2,3.17565
P1604,P1604,3,0.5,Night,3.72136,1.89644,2,17.0389,821.139,454.579,2,4084.23,0.128647,0.0155847,2,0.140023,27.9343,1.95964,2,17.6067,0.265733,0.0321916,2,0.28923,1384.82,97.1477,2,872.837,1.38482,0.0971477,2,0.872837,0.0409553,0.0250592,2,0.225148,2.03032,1.24229,2,11.1615
P1604,P1604,3,0.2,Night,5.08079,5.10291,2,45.8479,1135.12,1168.16,2,10495.5,0.219535,0.0065087,2,0.0584784,47.7815,1.03099,2,9.26304,0.45347,0.0134443,2,0.120792,2368.73,51.1103,2,459.207,2.36873,0.0511103,2,0.459207,0.0884768,0.0901432,2,0.809904,4.38616,4.46877,2,40.1503
P1604,P1604,3,Total,Night,29.4938,12.8493,2,115.446,6352.49,2469.77,2,22190,0.575005,0.162598,2,1.46089,124.337,29.0026,2,260.578,1.18773,0.335861,2,3.01759,6163.91,1437.78,2,12917.9,6.16391,1.43778,2,12.9179,0.0202132,0.0032931,2,0.0295874,1.00205,0.163253,2,1.46677
P1604,P1604,3,5,"D-N average",3.35086,3.90942,3,9.71155,710.135,814.694,3,2023.81,0.0429142,0.0517107,3,0.128456,9.13153,10.7779,3,26.7739,0.0886431,0.106813,3,0.265338,452.688,534.307,3,1327.29,0.452688,0.534307,3,1.32729,0.0138439,0.010434,3,0.0259195,0.686298,0.517257,3,1.28494
P1604,P1604,3,2,"D-N average",2.55083,2.26208,3,5.61933,544.997,467.903,3,1162.34,0.0365397,0.0164089,3,0.040762,7.86479,3.30933,3,8.22082,0.075476,0.0338941,3,0.0841977,389.891,164.057,3,407.54,0.389891,0.164057,3,0.407541,0.0184017,0.00715961,3,0.0177855,0.91225,0.354932,3,0.881699
P1604,P1604,3,1,"D-N average",10.4785,9.75593,3,24.2351,2230.66,2020.1,3,5018.2,0.102044,0.0585202,3,0.145372,21.9175,11.9292,3,29.6339,0.21078,0.120879,3,0.300279,1086.54,591.382,3,1469.07,1.08654,0.591382,3,1.46907,0.0122763,0.00512987,3,0.0127433,0.608589,0.254309,3,0.631738
P1604,P1604,3,0.5,"D-N average",3.19705,1.61955,3,4.0232,701.131,382.788,3,950.899,0.0974817,0.0550941,3,0.136861,21.1376,11.8534,3,29.4456,0.201357,0.113802,3,0.282699,1047.88,587.625,3,1459.74,1.04788,0.587625,3,1.45974,0.0327571,0.022707,3,0.0564073,1.62391,1.12568,3,2.79635
P1604,P1604,3,0.2,"D-N average",3.72881,4.30156,3,10.6857,830.07,980.544,3,2435.81,0.248835,0.0509579,3,0.126586,53.8493,10.535,3,26.1703,0.513992,0.105258,3,0.261476,2669.53,522.263,3,1297.37,2.66953,0.522263,3,1.29737,0.158978,0.137747,3,0.342183,7.88121,6.82869,3,16.9634
P1604,P1604,3,Total,"D-N average",23.306,14.0505,3,34.9034,5016.99,2898.36,3,7199.93,0.527815,0.141067,3,0.350431,113.901,27.3375,3,67.9102,1.09025,0.291387,3,0.723846,5646.53,1355.24,3,3366.59,5.64653,1.35524,3,3.36659,0.0266933,0.0114629,3,0.0284754,1.3233,0.568263,3,1.41164
P1604,P1604,4,5,Day,0.958908,,1,,207.769,,1,,0.00119695,,1,,0.259348,,1,,0.00265329,,1,,13.7975,,1,,0.0137975,,1,,0.00124825,,1,,0.0664079,,1,
P1604,P1604,4,2,Day,6.20803,,1,,1345.11,,1,,0.00610799,,1,,1.32344,,1,,0.0135396,,1,,70.4079,,1,,0.0704079,,1,,0.000983885,,1,,0.0523435,,1,
P1604,P1604,4,1,Day,70.2669,,1,,15224.9,,1,,0.595837,,1,,129.102,,1,,1.32079,,1,,6868.33,,1,,6.86833,,1,,0.00847963,,1,,0.451124,,1,
P1604,P1604,4,0.5,Day,20.3664,,1,,4412.84,,1,,0.192041,,1,,41.6101,,1,,0.425697,,1,,2213.69,,1,,2.21369,,1,,0.00942931,,1,,0.501647,,1,
P1604,P1604,4,0.2,Day,6.36501,,1,,1379.13,,1,,0.0672407,,1,,14.5692,,1,,0.149053,,1,,775.096,,1,,0.775096,,1,,0.0105641,,1,,0.56202,,1,
P1604,P1604,4,Total,Day,104.165,,1,,22569.8,,1,,0.862424,,1,,186.864,,1,,1.91174,,1,,9941.32,,1,,9.94132,,1,,0.00827938,,1,,0.44047,,1,
P1604,P1604,4,5,Night,2.9818,,1,,649.803,,1,,0.00351702,,1,,0.766438,,1,,0.00779618,,1,,40.7752,,1,,0.0407752,,1,,0.00117949,,1,,0.06275,,1,
P1604,P1604,4,2,Night,3.80511,,1,,829.219,,1,,0.072763,,1,,15.8567,,1,,0.161294,,1,,843.591,,1,,0.843591,,1,,0.0191225,,1,,1.01733,,1,
P1604,P1604,4,1,Night,31.4311,,1,,6849.56,,1,,0.353193,,1,,76.9688,,1,,0.782923,,1,,4094.8,,1,,4.0948,,1,,0.011237,,1,,0.59782,,1,
P1604,P1604,4,0.5,Night,8.64109,,1,,1883.09,,1,,0.111275,,1,,24.2493,,1,,0.246663,,1,,1290.08,,1,,1.29008,,1,,0.0128774,,1,,0.685089,,1,
P1604,P1604,4,0.2,Night,2.36111,,1,,514.54,,1,,0.0661634,,1,,14.4185,,1,,0.146664,,1,,767.077,,1,,0.767077,,1,,0.0280222,,1,,1.4908,,1,
